URLs;Identifies;Mode_de_decouverte;Plateformes
http://lapoesieetsesentours.blogspirit.com/;oui;autre;blogspirit
http://larevuenouveauxdelits.hautetfort.com/;oui;methodologie;hautetfort
http://larmedetoile.free.fr/index.php;oui;methodologie;
http://latelierdecrituredeminibulle.blogspot.com/;oui;methodologie;blogspot
http://latraversee.uqam.ca/retourflaneur;oui;repertoire_des_ecritures_num;
http://laurine-roux.blogspot.com/;oui;methodologie;blogspot
http://l-autofictif.over-blog.com/;oui;methodologie;over-blog
http://lautrehidalgo.blogspot.com/;oui;methodologie;blogspot
http://laviequonaime.blogspot.com/;oui;methodologie;blogspot
http://lbmdure.canalblog.com/;oui;methodologie;canalblog
http://le.bigorneau.over-blog.fr/;oui;methodologie;over-blog
http://lebathyscaphe.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://leblogdarianebeth.blogspirit.com/;oui;methodologie;blogspirit
http://le-blog-de-kiro.over-blog.com/;oui;methodologie;over-blog
http://le-blog-de-kiro.over-blog.com/article-pommes-rouges-60905452.html;oui;methodologie;over-blog
http://leblogduvent.over-blog.fr/;oui;methodologie;over-blog
http://leblog-zen.blogspot.com/;oui;methodologie;blogspot
http://lebolvide.over-blog.com/;oui;methodologie;over-blog
http://lebolvide.over-blog.com/article-28335501.html;oui;methodologie;over-blog
http://lebolvide.over-blog.com/article-28364070.html;oui;methodologie;over-blog
http://lecerumen.blogspot.com/;oui;methodologie;blogspot
http://leconnardsauvage.canalblog.com/;oui;autre;canalblog
http://leconvoidesglossolales.blogspot.com/;oui;methodologie;blogspot
http://lefeucentral.blogspot.com/;oui;methodologie;blogspot
http://lefeucentral.blogspot.com/2020/01/;oui;autre;blogspot
http://legrandos.blogspot.com/2016/08/meca-ana-tot.html;oui;methodologie;blogspot
http://lelivredehaiku.fr/livres/amour_autre.pdf;oui;methodologie;pdf
http://le-mercenaire.blogspot.ca/;oui;repertoire_des_ecritures_num;blogspot
http://lepandemoniumlitteraire.blogspot.com/;oui;methodologie;blogspot
http://lepassageducoeur.eklablog.com/;oui;methodologie;eklablog
http://lepervierincassable.net/;oui;autre;
http://lepoetejeandorval.blogspot.com/;oui;methodologie;blogspot
http://les807.blogspot.com/;oui;methodologie;blogspot
http://lescarnetsdeucharis.hautetfort.com/;oui;methodologie;hautetfort
http://lescarnetsdudessertdelune.hautetfort.com/;oui;methodologie;hautetfort
http://lesdecouvreurs2.blogspot.com/;oui;autre;blogspot
http://lesdetesteurs.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://lesmainsvides.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
