Source	Target	Weight
BelPhilippe4	DeschambaultLea	1
BelPhilippe4	AlexaheinzeA	2
BelPhilippe4	christi99830943	1
BelPhilippe4	K_Prisky	3
BelPhilippe4	PDansmabul	2
BelPhilippe4	letittwitt	2
BelPhilippe4	LaeraStyx	1
BelPhilippe4	NynnJah	5
BelPhilippe4	LouMiss_LM	1
BelPhilippe4	WilfreOrt	1
ConteurDeNotes	KindWildness	1
ConteurDeNotes	OBrother_op	1
ConteurDeNotes	AlexdeReps	1
ConteurDeNotes	ClerkofOxford	1
ConteurDeNotes	fred_manfrin	1
ConteurDeNotes	ConteurDeNotes	1
ConteurDeNotes	una_voce_france	1
ConteurDeNotes	neumz_now	2
ConteurDeNotes	_Mme_E	4
ConteurDeNotes	seivollLachens	2
ConteurDeNotes	GregorianSwears	1
ConteurDeNotes	RexChapman	1
Sydogasy	baantoucom	1
Sydogasy	CaroleGevaudan	11
Sydogasy	jane72740508	3
Sydogasy	corpsecrits	35
Sydogasy	Natresosoleil	1
Sydogasy	AmilkarAlexand3	2
Sydogasy	AuxComtesse	1
Sydogasy	DanniSr8	4
Sydogasy	paschamo	1
Sydogasy	Ann_Aurore	1
Sydogasy	don_cigarro	1
Sydogasy	yan_sall	1
Sydogasy	Joel75926443	1
Sydogasy	Paulo18000	1
Sydogasy	jaylonewolf577	1
Sydogasy	BadoglioMy	1
Sydogasy	o_elixir	2
Sydogasy	CarlaSaFe	1
Sydogasy	Flora_Keawon	5
Sydogasy	AndreeBaril	5
Sydogasy	zoubyben	3
Sydogasy	Dum_fat	2
Sydogasy	Dahlia_clacla	1
Sydogasy	BleueEvelyne	2
Sydogasy	f_lebel	1
Sydogasy	SandraDulier	2
Sydogasy	SauthierV	1
Sydogasy	ibiza3000sa	1
Sydogasy	JacquesMercier	2
Sydogasy	Glade11070785	1
Sydogasy	PourquoiPasToi	1
Sydogasy	belkidris	1
Sydogasy	montalbanyi	1
Sydogasy	fleur_ou	1
Sydogasy	Marouss28776392	1
Sydogasy	ManzoniGabriela	1
Sydogasy	Trgmary	1
Sydogasy	AineBelton	1
Sydogasy	Karim69739447	1
Sydogasy	SAVE_DAKAR	1
Sydogasy	FatimaGaladim10	1
Sydogasy	tarekbahaa1	1
DinaBail	venise312	5
DinaBail	arnaud_lancon	1
DinaBail	tlivres_tarts	4
DinaBail	CalliPetri	3
DinaBail	Stephanie_Arti	1
DinaBail	CyrilBauchais	2
DinaBail	ngruszkiewicz	13
DinaBail	berclazm	1
DinaBail	LucienSuel	2
DinaBail	estelle_lb	3
DinaBail	ClCharpentier	6
DinaBail	NinaChevalier10	9
DinaBail	edTableRonde	2
DinaBail	LeoAuteur	3
DinaBail	fanfancoq	1
DinaBail	ngrundlinger	3
DinaBail	Arnaud_Laporte	4
DinaBail	Petitmondedeve1	4
DinaBail	onlille	1
DinaBail	_Carine_C	3
DinaBail	Sylvain_Pierre	1
DinaBail	sweeteucalyptus	2
DinaBail	m_roffinella	1
DinaBail	LaCauselit	1
DinaBail	FrsMarcotte	2
DinaBail	ConvertEliane	1
DinaBail	Chouny111	2
DinaBail	GamezBravo	1
